Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
AUSTON MATTHEWSF,AUSTON MATTHEWS,F,mistake,TOR,-0.347848615,3.505126469,1218.35,0.490976142,2.938302162,0.201524180,1.110283302,225.266666667,0.199221496,20212022,-0.029462258,4.383333333,0.001660471,0.549372795,1448,8.417631964
CONNOR MCDAVIDF,CONNOR MCDAVID,F,mistake,EDM,0.983994725,0.769403321,1388.033333333,0.098143128,4.204957811,1.354583395,0.181730316,294.4,1.329614274,20212022,0,15.383333333,0.015537612,0.370588670,1697.816666667,7.953969858
LEON DRAISAITLF,LEON DRAISAITL,F,mistake,EDM,0.112242116,1.923359145,1339.95,-0.655061767,2.105614839,0.361064288,2.047498963,303.600000000,1.270317016,20212022,0.022920033,71.266666667,-0.194839601,0.248822173,1714.816666667,6.880872916
CALE MAKARD,CALE MAKAR,D,mistake,COL,0.017381021,1.665810685,1515.666666667,1.016814296,1.070330231,0.597573483,1.166985535,288.833333333,0.884333210,20212022,-0.047017368,105.533333333,-0.066405205,0.580192462,1910.033333333,6.288424865
KIRILL KAPRIZOVF,KIRILL KAPRIZOV,F,mistake,MIN,0.579543182,2.132388564,1201.333333333,0.348814099,0.552692178,1.027542056,1.303181710,263.300000000,0.528955208,20212022,0,3.283333333,0.001272301,0.447998874,1467.916666667,5.894846116
CHRIS KREIDERF,CHRIS KREIDER,F,mistake,NYR,-0.544417652,0.832521226,1110.616666667,0.347300894,1.058533833,-0.135493631,2.617738799,237.8,0.711845803,20212022,0.387387366,116.716666667,-0.111741167,0.408924021,1465.133333333,5.708093123
FILIP FORSBERGF,FILIP FORSBERG,F,mistake,NSH,0.255965473,2.629150538,983.3,0.447178099,0.804748791,0.554140294,0.777076815,215.283333333,0.377539215,20212022,0,2.15,0.000368029,0.298174820,1200.733333333,5.590201780
JASON ROBERTSONF,JASON ROBERTSON,F,mistake,DAL,-0.418493270,2.000595164,1099.216666667,-0.009268758,2.083938423,-0.103962796,1.248524033,197.3,0.224482155,20212022,0,0.283333333,-1.547216757e-05,0.314530474,1296.8,5.444292749
JOHNNY GAUDREAUF,JOHNNY GAUDREAU,F,mistake,CGY,0.164596799,2.224523733,1246.283333333,0.138880310,1.823922071,0.700792218,-0.043935739,240.15,0.584707646,20212022,0,4.966666667,0.002471378,0.536195419,1491.4,5.431361617
ANDREW MANGIAPANEF,ANDREW MANGIAPANE,F,mistake,CGY,-0.027666118,1.605743411,1015.366666667,0.566879104,1.509459858,0.232602422,0.707034471,146.783333333,0.233113778,20212022,0.221052483,104.783333333,0.242867170,0.260268540,1266.933333333,5.318752696
MATTHEW TKACHUKF,MATTHEW TKACHUK,F,mistake,CGY,-0.003796750,1.628906354,1195.85,0.786857891,1.838945830,0.088547091,0.088906744,237.016666667,0.618204909,20212022,0,2.9,0.000210216,0.092343841,1435.766666667,5.050579035
DAVID PASTRNAKF,DAVID PASTRNAK,F,mistake,BOS,0.108656004,1.787957587,1033.95,-0.153039756,0.756568985,0.496130522,1.099261419,256.566666667,1.012501814,20212022,0,2.566666667,-0.001912027,0.387474517,1293.083333333,4.997468545
ALEX DEBRINCATF,ALEX DEBRINCAT,F,mistake,CHI,-0.005741436,1.295486353,1310.85,0.248322928,1.244972136,0.659006441,0.990123694,291.133333333,0.614622559,20212022,-0.136209713,51.766666667,0.075947677,0.664747878,1653.75,4.992272077
MITCH MARNERF,MITCH MARNER,F,mistake,TOR,-0.236181698,2.105344845,1089.683333333,0.435710533,1.465694065,0.276611598,-0.285734050,221.35,0.626336307,20212022,0.071875440,138.633333333,0.016015029,0.512793296,1449.666666667,4.711853768
ALEKSANDER BARKOVF,ALEKSANDER BARKOV,F,mistake,FLA,-0.331001810,0.909611200,933.666666667,0.273655489,1.123261596,0.065276541,1.097171849,232.166666667,0.475248471,20212022,0.533836240,142.95,0.180123823,0.396278351,1308.783333333,4.658185209
MATT DUCHENEF,MATT DUCHENE,F,mistake,NSH,-0.113117731,1.751044322,1181.916666667,-0.248066373,1.247250299,0.013300910,1.399761447,245.716666667,0.286629257,20212022,0,2,0.000391677,0.126418640,1429.633333333,4.450311539
VICTOR HEDMAND,VICTOR HEDMAN,D,mistake,T.B,-0.040602755,0.938031447,1536.233333333,0.470002901,1.312975984,0.357718407,0.554456507,292.35,0.446224096,20212022,-0.052386142,164.583333333,0.358364093,0.398321162,1993.166666667,4.385387293
BROCK NELSONF,BROCK NELSON,F,mistake,NYI,-0.000731616,1.948133855,1005.65,-0.186560615,0.768900234,0.230779603,1.165220845,157.716666667,0.467816061,20212022,-0.107612478,52.283333333,0.053463526,0.231511219,1215.650000000,4.340141030
