Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
AUSTON MATTHEWSF,AUSTON MATTHEWS,F,mistake,TOR,-0.369155187,2.804907255,962.200000000,0.501330639,2.043983207,0.115243932,1.037764895,165.35,0.145210094,20212022,-0.029462258,3.883333333,0.001265189,0.484399119,1131.433333333,6.620242955
CONNOR MCDAVIDF,CONNOR MCDAVID,F,mistake,EDM,0.890324426,0.917396430,1065.033333333,0.051144986,2.829764724,1.228069936,0.118668433,233.316666667,1.107369522,20212022,0,6.4,0.002145511,0.337745511,1304.75,6.254559543
LEON DRAISAITLF,LEON DRAISAITL,F,mistake,EDM,0.110735948,1.394540545,1058.883333333,-0.337404044,1.519794940,0.160901762,1.313595030,244.733333333,0.906657150,20212022,0.040927040,56.933333333,-0.159258395,0.050165814,1360.55,4.839754027
CALE MAKARD,CALE MAKAR,D,mistake,COL,0.025945596,1.705788259,1119.566666667,0.393089506,0.956769425,0.575555842,0.539156796,220.283333333,0.658512485,20212022,-0.023284582,78.333333333,-0.001593060,0.549610246,1418.183333333,4.803994672
FILIP FORSBERGF,FILIP FORSBERG,F,mistake,NSH,0.181050524,2.936081513,691.066666667,0.358221945,0.264526742,0.353868173,0.487567825,150.166666667,0.224147976,20212022,0,2.15,0.000366868,0.172817648,843.383333333,4.624781042
ANDREW MANGIAPANEF,ANDREW MANGIAPANE,F,mistake,CGY,-0.019853203,1.570670760,782.783333333,0.404476732,1.005800392,0.259432553,0.758682718,102.883333333,0.186924608,20212022,0.221052483,80.683333333,0.186942250,0.279285756,966.350000000,4.593982496
CHRIS KREIDERF,CHRIS KREIDER,F,mistake,NYR,-0.451860180,0.657579075,861.383333333,0.262629362,0.788017453,-0.184349243,2.060038727,192.583333333,0.623775685,20212022,0.285274342,92.083333333,-0.134404621,0.267510936,1146.050000000,4.358560779
ALEX DEBRINCATF,ALEX DEBRINCAT,F,mistake,CHI,0.020991169,1.308383841,977.883333333,-0.201031789,1.042541347,0.531961006,0.970057335,221.916666667,0.425973798,20212022,-0.136209713,45.916666667,0.069837264,0.510969837,1245.716666667,4.011513088
DAVID PASTRNAKF,DAVID PASTRNAK,F,mistake,BOS,0.122011860,1.233526300,910.1,-0.053186271,0.639283610,0.490149046,0.932373798,212.966666667,0.699432861,20212022,0,1.733333333,-0.000472881,0.368137186,1124.8,3.941106463
TROY TERRYF,TROY TERRY,F,mistake,ANA,0.470871104,1.540173870,891.183333333,0.234825849,0.769851776,0.659755020,0.892361977,113.4,-0.171636093,20212022,0,1.25,0.000173281,0.188883916,1005.833333333,3.925505679
DYLAN LARKINF,DYLAN LARKIN,F,mistake,DET,-0.033608330,2.147835936,890.9,-0.092212347,1.167441117,0.019060670,0.279335516,159.116666667,0.244803997,20212022,0,13.95,-0.005435229,0.052669000,1063.966666667,3.760829659
JESPER BRATTF,JESPER BRATT,F,mistake,N.J,0.127479139,1.066973634,798,-0.009488650,1.711410477,0.395007758,0.272734342,146,0.290580656,20212022,0,1.383333333,-2.545237239e-05,0.267528619,945.383333333,3.727192763
VICTOR HEDMAND,VICTOR HEDMAN,D,mistake,T.B,-0.068136462,1.108312011,1158.65,0.408407636,1.121080317,0.146557242,0.389674573,219.516666667,0.263131015,20212022,-0.052386142,117.4,0.333259088,0.214693704,1495.566666667,3.718035738
JASON ROBERTSONF,JASON ROBERTSON,F,mistake,DAL,-0.297224336,1.383604039,774.950000000,0.021636707,1.347708195,-0.117247395,0.895636493,147.816666667,0.176662351,20212022,0,0.283333333,-1.491202002e-05,0.179976941,923.05,3.707985478
ELIAS LINDHOLMF,ELIAS LINDHOLM,F,mistake,CGY,-0.222761180,1.606147547,904.683333333,0.071178822,0.545121744,0.230572855,0.609062612,170.283333333,0.422631298,20212022,0.131110600,134.866666667,0.012614337,0.453334035,1209.833333333,3.628439813
MATT DUCHENEF,MATT DUCHENE,F,mistake,NSH,-0.065012480,1.451918114,871.7,-0.124152763,0.794761748,0.112432396,1.048097666,178.9,0.204863651,20212022,0,1.733333333,0.000279981,0.177444876,1052.333333333,3.488200793
KIRILL KAPRIZOVF,KIRILL KAPRIZOV,F,mistake,MIN,0.420035874,1.542888123,873.466666667,0.002840462,0.276555635,0.750350220,0.483282191,181.783333333,0.285592912,20212022,0,2.1,0.000497817,0.330314346,1057.35,3.342007361
JOHNNY GAUDREAUF,JOHNNY GAUDREAU,F,mistake,CGY,-0.110733659,1.374984553,936.066666667,-0.050787272,1.424092026,0.288431564,-0.159395100,173.066666667,0.442340887,20212022,0,4.1,0.001667806,0.399165223,1113.233333333,3.321334466
ALEKSANDER BARKOVF,ALEKSANDER BARKOV,F,mistake,FLA,-0.147581088,0.307421593,685.966666667,0.105507849,0.842235360,0.202919720,0.745216441,166.583333333,0.435187828,20212022,0.571974445,107,0.104030184,0.350500808,959.55,3.314493421
MITCH MARNERF,MITCH MARNER,F,mistake,TOR,-0.146912151,1.241936795,810.25,0.198499733,0.883866719,0.262953786,0.056194308,151.700000000,0.398769054,20212022,0.126131702,103.466666667,0.085107069,0.409865938,1065.416666667,3.253459167
BROCK NELSONF,BROCK NELSON,F,mistake,NYI,0.033700676,1.432545924,721.683333333,0.088202514,0.747572496,0.068237797,0.637526654,111.933333333,0.280875947,20212022,-0.059239851,30.766666667,0.044883930,0.034537121,864.383333333,3.240605412
MATTHEW TKACHUKF,MATTHEW TKACHUK,F,mistake,CGY,0.034382038,0.790704343,901.633333333,0.513555489,1.117085460,0.075808094,0.233845496,172.95,0.507062029,20212022,0,2.783333333,0.000143213,0.041426056,1077.366666667,3.238204123
JARED MCCANNF,JARED MCCANN,F,mistake,SEA,0.211728134,1.433022923,705,-0.119795748,0.386818392,0.504387194,0.661777426,145.116666667,0.246444366,20212022,0,6.283333333,0.002668224,0.292659060,856.4,3.115322778
AARON EKBLADD,AARON EKBLAD,D,mistake,FLA,-0.137628632,1.131234129,1091.733333333,0.194742619,1.164943948,0.252948537,0.097200336,214.516666667,0.294542807,20212022,-0.085113097,166.833333333,0.055292760,0.390577170,1473.083333333,3.105792041
MIKKO RANTANENF,MIKKO RANTANEN,F,mistake,COL,0.171654904,0.717359585,944.916666667,-0.043041224,1.151061967,0.041697942,0.650682637,226.916666667,0.584810455,20212022,0,1.3,0.000137672,-0.129956961,1173.133333333,3.102709036
JOSH NORRISF,JOSH NORRIS,F,mistake,OTT,0.136013496,1.136595910,656.266666667,-0.180317079,0.037531651,0.404018083,1.481128669,143.1,0.211682300,20212022,0,13.066666667,-0.008934436,0.268004587,812.433333333,3.081705097
CLAUDE GIROUXF,CLAUDE GIROUX,F,mistake,PHI,0.123590877,1.088822233,828.283333333,0.283404431,0.743729377,0.374961115,0.032024923,176.266666667,0.469058759,20212022,-0.022938958,45.816666667,-0.012059559,0.251370238,1050.366666667,2.957002321
JORDAN KYROUF,JORDAN KYROU,F,mistake,STL,0.090854218,1.669591100,796.083333333,-0.247169569,0.734664811,0.369560192,0.251190486,99.516666667,0.116278599,20212022,0,2.816666667,0.000500375,0.278705974,898.416666667,2.894615993
TIMO MEIERF,TIMO MEIER,F,mistake,S.J,0.122330373,-0.324377507,891.5,0.034324919,1.540731829,0.300018243,1.094902556,158.183333333,0.217003311,20212022,0,3.083333333,-0.000854676,0.177687869,1052.766666667,2.861748675
OLIVER BJORKSTRANDF,OLIVER BJORKSTRAND,F,mistake,CBJ,0.042496527,0.770163028,878.566666667,0.437633379,0.695143295,0.487913916,0.148237713,181.216666667,0.296819343,20212022,-0.006858573,2.133333333,0.000262385,0.445417388,1061.916666667,2.829314486
TYLER BERTUZZIF,TYLER BERTUZZI,F,mistake,DET,0.125590061,1.716694389,797.4,-0.061172595,0.736432980,0.372287015,-0.160443485,148.266666667,0.001696223,20212022,0.126188079,29.466666667,0.049843768,0.246696954,975.133333333,2.781526375
KYLE CONNORF,KYLE CONNOR,F,mistake,WPG,-0.510170594,2.332289245,1018.116666667,-0.929601833,0.953381051,0.159762574,-0.025956240,219.566666667,0.396880641,20212022,-0.048549248,90.816666667,-0.085734670,0.669933168,1328.5,2.752471519
ROMAN JOSID,ROMAN JOSI,D,mistake,NSH,0.130518309,0.535022163,1220.45,0.075864502,0.851263120,0.171755709,0.972788978,191.55,0.180505135,20212022,-0.019561961,38.55,-0.083276982,0.041237400,1450.55,2.684360664
ALEX OVECHKINF,ALEX OVECHKIN,F,mistake,WSH,-0.402404347,1.273285169,967.3,-0.763427435,0.565986325,0.082518815,0.893275086,298.033333333,0.452390828,20212022,0.150477333,0.833333333,5.099824126e-05,0.484923162,1266.166666667,2.654557120
MIKA ZIBANEJADF,MIKA ZIBANEJAD,F,mistake,NYR,-0.180108790,0.402610617,891.100000000,0.017075755,0.298576995,0.305253293,1.125268759,193.45,0.426664646,20212022,0.032179883,115.5,0.045898350,0.485362083,1200.05,2.653528298
PAVEL BUCHNEVICHF,PAVEL BUCHNEVICH,F,mistake,STL,0.043989720,1.055029534,699.5,0.420580841,0.632611969,0.111685911,0.304242921,112.300000000,0.122273814,20212022,-0.131561042,78.266666667,0.058627102,0.067696191,890.066666667,2.573491051
BRAYDEN POINTF,BRAYDEN POINT,F,mistake,T.B,-0.106749408,1.021395781,723.1,-0.260536324,0.860441973,0.280545518,0.215270279,167.483333333,0.434015951,20212022,0,0.783333333,2.990820187e-05,0.387294927,891.366666667,2.551163087
ROOPE HINTZF,ROOPE HINTZ,F,mistake,DAL,-0.126288918,0.454925775,797.016666667,0.054637431,0.647007314,0.111501733,0.581378243,151.5,0.288337475,20212022,0.255126999,77.633333333,0.143659495,0.237790652,1026.15,2.536574466
CLAYTON KELLERF,CLAYTON KELLER,F,mistake,ARI,0.123724156,1.976653223,954.4,-0.444449981,0.708670711,0.342515611,0.097874618,170.3,-0.066731989,20212022,0.003527590,68.266666667,-0.083079870,0.218791455,1192.966666667,2.534979913
MATS ZUCCARELLOF,MATS ZUCCARELLO,F,mistake,MIN,0.005076749,1.530186001,755.866666667,-0.017029931,0.328314678,0.295259483,0.152500822,157.933333333,0.204310148,20212022,0,5.083333333,0.001353969,0.290182734,918.883333333,2.494895170
CARTER VERHAEGHEF,CARTER VERHAEGHE,F,mistake,FLA,-0.097166043,1.677210090,878.883333333,0.043394828,1.353446368,-0.340638253,-0.165438820,69.233333333,-0.045754343,20212022,-0.019833998,22.583333333,-0.009335912,-0.243472210,970.7,2.493049960
