Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/360145/anton-lundellAnton Lundell2022,Anton Lundell,Florida Panthers,F,nhl,Florida Panthers,2022,2,19.95,15.37,55.51,96.69%,99.99%
https://www.eliteprospects.com/player/526239/shane-wrightShane Wright2022,Shane Wright,Unsigned,F,ohl,Kingston Frontenacs,2022,0,17.7,31.03,17.63,96.57%,99.15%
https://www.eliteprospects.com/player/326522/bowen-byramBowen Byram2022,Bowen Byram,Colorado Avalanche,D,nhl,Colorado Avalanche,2022,3,20.26,4.98,46.47,95.64%,99.77%
https://www.eliteprospects.com/player/559522/david-jiricekDavid Jiricek2022,David Jiricek,Unsigned,D,czech,HC Plzen,2022,0,17.8,12.16,18.13,88.48%,99.96%
https://www.eliteprospects.com/player/375501/matt-boldyMatt Boldy2022,Matt Boldy,Minnesota Wild,F,"ahl, nhl","Iowa Wild, Minnesota Wild",2022,3,20.45,12.16,61.71,86.66%,99.83%
https://www.eliteprospects.com/player/589605/simon-nemecSimon Nemec2022,Simon Nemec,Unsigned,D,slovakia,HK Nitra,2022,0,17.58,13.06,16.15,77.52%,99.91%
https://www.eliteprospects.com/player/201844/cole-sillingerCole Sillinger2022,Cole Sillinger,Columbus Blue Jackets,F,nhl,Columbus Blue Jackets,2022,1,18.34,12.79,32.18,74.44%,99.45%
https://www.eliteprospects.com/player/201952/seth-jarvisSeth Jarvis2022,Seth Jarvis,Carolina Hurricanes,F,nhl,Carolina Hurricanes,2022,2,19.62,7.41,48.24,73.55%,99.63%
https://www.eliteprospects.com/player/316168/cole-caufieldCole Caufield2022,Cole Caufield,Montreal Canadiens,F,"ahl, nhl","Laval Rocket, Montreal Canadiens",2022,3,20.7,12.76,50.49,62.35%,94.39%
https://www.eliteprospects.com/player/394719/william-eklundWilliam Eklund2022,William Eklund,San Jose Sharks,F,"nhl, shl","San Jose Sharks, Djurgardens IF",2022,1,18.93,7.11,25.72,60.83%,96.32%
https://www.eliteprospects.com/player/201940/cole-perfettiCole Perfetti2022,Cole Perfetti,Winnipeg Jets,F,"ahl, nhl","Manitoba Moose, Winnipeg Jets",2022,2,19.7,13.88,30.09,45.31%,96.03%
https://www.eliteprospects.com/player/336828/jack-quinnJack Quinn2022,Jack Quinn,Buffalo Sabres,F,ahl,Rochester Americans,2022,2,19.99,6.2,43.29,40.32%,98.02%
https://www.eliteprospects.com/player/526043/joakim-kemellJoakim Kemell2022,Joakim Kemell,Unsigned,F,"wjc-18, liiga","Finland U18, JYP",2022,0,17.39,6.19,20.93,37.84%,88.73%
